Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation
672,Drilbur,0.00055,11,0.001,11,0.001,5
673,Salandit,0.00050,10,0.000,7,0.000,7
674,Cosmog,0.00050,10,0.000,8,0.001,7
675,Charcadet,0.00050,10,0.000,8,0.001,9
676,Swablu,0.00050,10,0.000,9,0.001,3
677,Seel,0.00050,10,0.000,6,0.000,1
678,Tinkatuff,0.00045,9,0.000,8,0.001,9
679,Barboach,0.00045,9,0.000,8,0.001,3
680,Azurill,0.00045,9,0.000,9,0.001,3
681,Teddiursa,0.00045,9,0.000,8,0.001,2
682,Grimer-Alola,0.00045,9,0.000,8,0.001,7
683,Petilil,0.00045,9,0.000,8,0.001,5
684,Rhyhorn,0.00045,9,0.000,8,0.001,1
685,Gulpin,0.00045,9,0.000,8,0.001,3
686,Finizen,0.00045,9,0.000,7,0.000,9
687,Cufant,0.00040,8,0.000,8,0.001,8
688,Luxio,0.00040,8,0.000,6,0.000,4
689,Varoom,0.00040,8,0.000,6,0.000,9
690,Corvisquire,0.00040,8,0.000,5,0.000,8
691,Nymble,0.00040,8,0.000,8,0.001,9
692,Goomy,0.00040,8,0.000,6,0.000,6
